file,model_acc,f1,recall,precision,expl_acc_0,expl_fidelity_0,expl_comp_0,expl_acc_1,expl_fidelity_1,expl_comp_1
breastCancer.csv,0.98,0.92,0.91,0.93,0.89,0.94,4.0,0.0,0.0,0.0
clusteredData.csv,0.96,0.49,0.49,0.48,0.52,0.82,2.0,0.46,0.73,3.0
clusteredDataSepsis.csv,0.89,0.53,0.61,0.54,0.45,0.6,4.0,0.53,0.83,1.0
expertLabelledData.csv,0.91,0.48,0.49,0.48,0.55,0.91,2.0,0.36,0.48,2.0
metricExtractedData.csv,0.96,0.58,0.56,0.61,0.48,0.83,1.0,0.48,0.94,3.0
staticData.csv,0.81,0.57,0.59,0.56,0.32,0.36,9.0,0.5,0.84,4.0
