file,model_acc,f1,recall,precision,expl_acc_0,expl_fidelity_0,expl_comp_0,expl_acc_1,expl_fidelity_1,expl_comp_1
breastCancer.csv,0.97,0.98,0.98,0.99,0.92,0.91,4.0,0.93,0.95,5.0
clusteredData.csv,0.93,0.48,0.48,0.48,0.49,0.8,3.0,0.35,0.49,2.0
clusteredDataSepsis.csv,0.89,0.55,0.62,0.55,0.53,0.9,6.0,0.44,0.63,2.0
expertLabelledData.csv,0.91,0.53,0.53,0.53,0.59,0.88,3.0,0.41,0.63,5.0
metricExtractedData.csv,0.94,0.59,0.57,0.65,0.54,0.76,5.0,0.44,0.74,3.0
staticData.csv,0.8,0.58,0.59,0.57,0.47,0.85,2.0,0.39,0.45,2.0
