file,model_acc,f1,recall,precision,expl_acc_0,expl_fidelity_0,expl_comp_0,expl_acc_1,expl_fidelity_1,expl_comp_1
breastCancer.csv,0.96,0.95,0.95,0.95,0.87,0.9,2.6,0.86,0.88,2.6
clusteredData.csv,0.94,0.47,0.46,0.49,0.47,0.84,2.4,0.5,0.92,4.5
clusteredDataSepsis.csv,0.88,0.56,0.58,0.55,0.48,0.84,2.6,0.4,0.58,1.4
expertLabelledData.csv,0.93,0.53,0.53,0.53,0.45,0.78,2.4,0.44,0.71,3.75
metricExtractedData.csv,0.94,0.55,0.55,0.55,0.46,0.79,2.8,0.4,0.69,4.33
staticData.csv,0.82,0.56,0.57,0.56,0.37,0.51,5.0,0.47,0.9,2.0
