file,model_acc,f1,recall,precision,expl_acc_0,expl_fidelity_0,expl_comp_0,expl_acc_1,expl_fidelity_1,expl_comp_1
breastCancer.csv,0.97,0.98,0.97,0.98,0.89,0.86,2.0,0.91,0.91,2.0
clusteredData.csv,0.94,0.54,0.55,0.53,0.45,0.67,4.0,0.48,0.91,4.0
clusteredDataSepsis.csv,0.88,0.58,0.61,0.57,0.48,0.7,5.0,0.44,0.61,3.0
expertLabelledData.csv,0.92,0.53,0.53,0.53,0.43,0.73,4.0,0.48,0.78,5.0
metricExtractedData.csv,0.94,0.58,0.56,0.61,0.52,0.73,3.0,0.39,0.62,3.0
staticData.csv,0.78,0.57,0.58,0.56,0.47,0.82,2.0,0.49,0.62,3.0
